index;longitude;latitude;f1;f2;f3;f4;f5;f6;t1
489;13,19;52,5;11;2127;1989;530;2,9028;581;0
490;13,2;52,5;30;3376;1990;725;3,7813;720;0
491;13,16;52,5;29;2077;1418;524;1,8281;577;0
492;13,2;52,49;19;3754;1692;550;6,7644;588;0
493;13,19;52,48;27;3526;1725;553;5,7812;589;0
494;13,15;52,45;16;324;135;61;2,4615;61;0
495;13,26;52,54;29;1223;633;204;6,5143;215;0
496;13,31;52,54;17;2641;1167;647;2,2875;627;0
497;13,28;52,53;32;2856;1499;601;3,63;622;0
498;13,26;52,48;39;2078;1901;504;1,1468;561;0
499;13,14;52,47;37;1822;1961;506;1,9881;498;0
500;13,18;52,47;36;2099;1845;483;1,4138;510;0
501;13,18;52,48;37;2395;2489;599;1,5933;627;0
502;13,19;52,47;37;1361;1398;328;1,1681;348;0
503;13,2;52,48;46;176;101;40;2,2361;43;0
504;13,18;52,44;38;1452;1139;340;2,707;354;0
505;13,13;52,44;18;1748;921;327;3,3315;337;0
506;13,18;52,43;21;3298;1862;687;2,1507;716;0
507;13,17;52,43;47;1985;819;340;6,5147;315;0
508;13,12;52,43;38;4116;1196;422;3,5625;949;0
509;13,18;52,42;32;2468;1190;479;3,8275;552;0
510;13,17;52,47;45;2317;1057;428;4,375;448;0
511;13,15;52,46;39;2033;956;379;3,1736;370;0
512;13,12;52,42;6;1926;965;316;4,7463;303;0
513;13,17;52,42;17;3361;3264;914;2,2813;925;0
514;13,2;52,43;22;3740;2011;824;1,3039;965;0
515;13,21;52,42;7;5320;2015;768;6,3373;855;0
516;13,23;52,43;34;1932;1053;316;5,1377;315;0
517;13,25;52,46;20;1517;1287;328;1,6607;323;0
518;13,27;52,46;33;1981;1665;466;3,0833;484;0
519;13,26;52,47;16;1343;732;195;3,5833;241;0
520;13,28;52,47;12;2739;1859;498;2,9936;535;0
521;13,28;52,45;24;1610;909;323;1,8661;324;0
522;13,27;52,47;11;13714;6511;2267;3,5522;2302;0
523;13,3;52,48;26;2332;1285;404;5,388;371;0
524;13,86;52,47;52;1941;955;425;4,1339;436;0
525;13,7;52,5;17;1452;630;194;6,9113;188;0
526;13,8;52,22;52;2747;1309;653;2,943;736;0
527;13,8;52,28;22;2001;1520;387;3,148;387;0
528;13,79;52,24;22;3273;1151;463;8,05;480;0
529;13,74;52,21;15;3062;1624;538;4,3864;584;0
530;10,45;54,04;17;838;388;142;3,6563;161;0
531;10,41;54,05;19;3267;1252;566;2,7236;614;0
532;10,45;54,03;38;1402;970;382;1,6343;370;0
533;10,46;54,05;20;3435;1293;553;6,7578;593;0
534;10,39;54,03;17;1521;607;240;3,5;309;0
535;10,4;54,04;6;2073;826;375;3,055;388;0
536;10,38;54,04;13;2364;1257;380;4,6167;421;0
537;10,44;54,06;34;1403;839;255;4,7031;262;0
538;10,38;54,03;17;729;431;121;4,2188;134;0
539;10,36;54,05;33;4492;3477;1537;3,0546;;0
540;13,48;52,45;25;3295;1477;770;1,8325;824;0
541;13,51;52,64;52;2287;829;296;7,8383;295;0
542;13,4;52,62;15;666;247;164;2,15;152;0
543;13,13;52,46;36;1672;969;337;3,0536;302;0
544;13,5;52,47;32;3202;1316;538;5,2888;537;0
545;13,47;52,6;20;2587;1534;540;2,4375;547;0
546;13,24;52,53;52;2935;975;327;11,706;341;0
547;13,3;52,63;30;2246;1032;548;3,5871;552;0
548;13,26;52,46;35;1300;1216;326;1,2;356;0
549;13,46;52,48;29;335;202;91;2,0062;107;0
550;13,32;52,54;26;3433;1492;798;2,9258;873;0
551;13,17;52,49;47;3453;1353;728;4,016;779;0
552;13,38;52,58;52;50;60;16;4,125;9;0
553;13,21;52,57;7;2914;1584;499;4,6312;481;0
554;13,63;52,39;46;2198;839;335;6,5778;352;0
555;13,64;52,45;31;2712;1519;629;1,942;628;0
556;13,5;52,6;29;2077;1887;489;1,4107;524;0
557;13,39;52,63;28;3763;1967;724;5,3244;762;0
558;13,4;52,64;21;4426;1856;761;4,1;790;0
559;13,56;52,48;16;2240;1104;416;3,5313;443;0
560;13,41;52,61;19;2439;1416;469;2,4474;462;0
561;13,14;52,49;14;388;35;17;6,1359;108;0
562;13,62;52,41;22;1580;686;264;1,8065;372;0
563;13,23;52,6;15;1386;703;185;3,6415;247;0
564;13,27;52,63;17;871;955;351;1,4375;379;0
565;13,52;52,55;43;2070;1925;444;1,4635;512;0
566;13,61;52,43;17;1258;885;229;3,05;254;0
567;13,62;52,43;24;3533;1496;723;2,8106;741;0
568;13,68;52,37;52;888;360;175;2,1944;168;0
569;12,59;53,23;19;1124;598;261;1,8984;290;0
570;12,28;52,94;36;2988;1357;657;3,5174;719;0
571;12,29;52,94;30;1242;1438;325;2,6607;338;0
572;13,18;52,5;13;2614;1949;537;2,0547;650;0
573;13,42;52,38;14;4794;2252;768;4,2061;767;0
574;13,42;52,59;52;3519;1883;706;3,4861;711;0
575;13,4;52,61;25;1492;755;389;3,0893;439;0
576;13,16;52,54;16;2812;1620;523;3,7404;514;0
577;13,57;52,51;32;3152;3490;526;2,725;596;0
578;13,35;52,61;52;2756;971;510;5,5871;542;0
579;13,12;52,54;33;1624;1412;323;4,0385;337;0
580;13,32;52,55;16;1257;559;213;4,4531;231;0
581;13,23;52,55;4;22128;10450;3258;6,1287;3522;0
582;13,29;52,61;42;1809;1094;382;2,767;424;0
583;13,49;52,48;8;11609;5696;2100;5,0012;2141;0
584;13,58;52,39;14;6277;3025;1630;4,0653;1742;0
585;13,58;52,48;22;809;334;157;2,3846;180;0
586;13,45;52,58;33;2970;1869;539;4,3636;547;0
587;13,65;52,35;31;3052;1581;788;3,0744;844;0
588;13,4;52,47;52;1294;434;180;5,7914;175;0
589;13,3;52,56;34;1503;731;285;4,0352;264;0
590;13,15;52,56;44;1488;667;281;4,0862;259;0
591;13,65;52,45;33;1353;1079;237;4,5417;228;0
592;13,66;52,45;37;4005;1602;606;6,4666;614;0
593;13,25;52,55;38;4105;2561;909;3,8684;950;0
594;13,15;52,48;16;1755;674;410;5,1602;410;0
595;13,22;52,6;41;839;419;215;5,012;190;0
596;13,3;52,55;20;3212;1064;526;6,6155;572;0
597;13,16;52,47;21;5639;2670;871;6,0809;894;0
598;13,44;52,63;36;1765;1008;382;2,0639;438;0
599;13,18;52,56;35;2072;1249;317;3,9855;349;0
600;13,7;52,4;15;3780;1632;721;2,7644;792;0
601;13,13;52,45;7;6837;3468;1405;3,1662;;0
602;13,19;52,45;20;2110;1008;325;6,1509;335;0
603;13,13;52,41;30;1610;1000;397;2,0357;410;0
604;13,43;52,62;36;2127;807;306;8,1596;314;0
605;13,19;52,46;30;1856;1103;379;4,0357;339;0
606;13,23;52,56;15;4206;1863;869;2,0591;922;0
607;13,49;52,44;19;2238;1190;507;2,0714;573;0
608;13,27;52,6;44;2267;980;372;3,6;426;0
609;13,5;52,49;34;1765;772;282;5,0118;284;0
610;13,24;51,71;25;4137;1905;630;4,375;662;0
611;13,49;52,61;10;3587;1398;763;2,569;774;0
612;13,26;52,61;32;2352;1316;447;2,2292;477;0
613;13,28;52,65;18;1665;1095;390;2,6038;477;0
614;13,56;52,47;30;2180;1050;390;6,3688;369;0
615;13,58;52,4;36;599;361;139;5,0395;125;0
616;13,35;52,4;46;3007;2587;814;2,7179;854;0
617;13,43;52,63;30;504;529;123;1,9531;140;0
618;13,53;52,56;15;3193;1303;426;5,3017;468;0
619;13,12;52,45;45;818;340;138;4,8021;144;0
620;13,05;52,75;6;2187;697;273;6,2685;277;0
621;13,6;52,5;31;1701;680;324;3,1375;363;0
622;13,2;52,44;16;3050;1444;512;5,2463;559;0
623;13,15;52,5;34;1280;754;294;3,1333;268;0
624;13,67;52,45;23;1551;555;243;4,6792;236;0
625;13,57;52,39;30;2835;1669;652;3,3616;711;0
626;13,2;52,47;17;3724;2536;971;3,2649;1023;0
627;13,66;52,42;48;1562;1469;424;2,5673;439;0
628;13,6;52,47;38;1231;1217;354;1,8661;346;0
629;13,25;52,56;14;999;1037;244;2,7125;232;0
630;13,54;52,51;26;4050;2072;636;4,0781;712;0
631;13,28;52,5;42;932;900;263;1,8039;254;0
632;13,64;52,42;34;3978;2725;1035;1,7622;1073;0
633;13,25;52,59;38;2172;830;368;3,9091;437;0
634;13,11;52,41;52;1881;640;321;6,871;334;0
635;13,68;52,42;36;1057;658;207;4,7708;207;0
636;13,19;52,56;28;1445;1017;284;3,6693;268;0
637;13,78;52,54;39;2754;2263;619;2,2454;652;0
638;13,78;52,52;20;3196;2929;983;3,0206;994;0
639;13,8;52,52;38;3272;3299;726;2,8295;731;0
640;13,79;52,55;36;1882;1005;409;3,8;453;0
641;13,55;52,49;31;1795;872;282;8,0599;281;0
642;13,49;52,65;39;2902;1007;420;6,1953;460;0
643;13,2;52,42;28;1609;1064;290;1,1125;340;0
644;13,67;52,42;43;2527;1332;558;3,0465;619;0
645;13,62;52,4;23;4247;2357;823;5,1321;835;0
646;13,27;52,53;32;1578;836;292;3,9063;284;0
647;13,22;52,59;11;2394;1393;409;5,5875;403;0
648;13,13;52,43;27;1492;717;254;1,8906;393;0
649;13,6;52,46;8;1268;1237;326;1,3708;336;0
650;13,69;52,45;24;4410;2362;862;2,9406;939;0
651;13,55;52,47;32;9534;4951;1710;3,3926;1819;0
652;13,13;52,42;22;2367;1333;488;3,6304;492;0
653;13,52;52,37;18;1867;802;314;1,8242;424;0
654;13,74;52,47;30;2695;1098;420;5,3972;424;0
655;13,45;52,65;30;2370;1248;410;3,1442;412;0
656;13,44;52,64;38;175;129;20;9,7066;22;0
657;13,59;52,39;37;3223;1325;539;4,0938;564;0
658;13,26;52,6;14;1740;850;317;2,5812;391;0
659;13,53;52,59;5;1519;705;186;10,3798;186;0
660;13,61;52,41;13;4760;309;132;5,4618;938;0
661;13,68;52,45;40;2681;1144;669;3,0461;737;0
662;13,34;52,54;16;1466;661;209;6,2893;196;0
663;13,66;52,37;28;4930;2232;1321;4,3232;1381;0
664;13,49;52,59;34;3718;2510;632;5,3311;676;0
665;13,68;52,41;47;1527;1102;282;4;283;0
666;13,59;52,38;14;2493;1296;418;5,4508;407;0
667;13,57;52,38;52;2307;1127;548;1,8447;583;0
668;13,57;52,37;33;1759;943;315;5,223;311;0
669;13,46;52,74;32;3551;1731;935;2,2017;1037;0
670;13,64;52,46;45;1211;1128;261;3,4792;234;0
671;13,26;52,58;4;617;224;105;3,9205;105;0
672;13,67;52,37;52;1565;637;297;4,7778;315;0
673;13,48;52,64;14;2635;1150;499;4,4391;516;0
674;13,21;52,11;43;782;827;223;3,1538;207;0
675;13,65;52,36;16;5603;3045;893;5,0778;938;0
676;13,65;52,34;16;4371;2530;817;4,6786;889;0
677;13,29;52,56;24;3596;1573;492;6,5382;494;0
678;13,23;52,47;21;2471;1753;451;4,025;473;0
679;13,24;52,47;26;2345;1195;377;5,4925;408;0
680;13,25;52,62;26;1299;533;180;6,2296;174;0
681;13,29;52,53;30;4573;2411;819;3,5804;819;0
682;13,36;52,47;52;1590;1127;321;3,4625;360;0
683;13,44;52,61;44;2636;2182;651;1,432;725;0
684;13,44;52,62;21;5541;2214;737;5,5777;776;0
685;13,54;52,5;19;2742;1396;703;2,5663;756;0
686;13,42;52,6;18;2144;985;381;3,175;420;0
687;13,42;52,62;50;2141;1777;426;2,7679;451;0
688;13,24;52,49;34;3041;1920;640;4,5304;677;0
689;13,53;52,5;18;2127;1168;401;3,0313;443;0
690;13,5;52,62;37;1813;1100;375;3,4453;394;0
691;13,28;52,55;35;1481;747;254;4,4286;277;0
692;13,65;52,41;47;2901;1276;578;2,1366;631;0
693;13,71;52,44;36;1467;1247;347;1,8191;369;0
694;13,5;52,65;15;2708;1140;389;6,2899;410;0
695;13,51;52,52;26;10111;3599;1257;10,2292;1295;0
696;13,25;52,58;46;723;411;165;2,0893;154;0
697;13,36;52,4;51;1477;750;295;5,3925;280;0
698;13,55;52,39;23;3516;1465;623;4,2569;661;0
699;13,23;52,49;10;1657;958;380;2,6458;359;0
700;13,48;52,6;12;5719;3436;1057;5,2879;1064;0
701;13,46;52,6;28;3187;2205;559;5,1668;569;0
702;13,44;52,6;23;1569;1031;368;1,6267;414;0
703;13,54;52,56;28;1869;1074;344;2,5988;407;0
704;13,12;52,46;28;1452;919;308;2,8287;300;0
705;13,28;52,64;11;3358;1690;482;6,7544;504;0
706;13,15;52,49;40;2538;2170;541;2,7212;564;0
707;13,59;52,49;30;2110;1301;345;2,3173;406;0
708;13,22;52,52;16;1584;1011;268;2,4961;309;0
709;13,28;52,61;17;2255;1171;411;2,875;416;0
710;13,65;52,42;52;1835;777;317;3,7159;330;0
711;13,5;52,58;18;9528;3922;1920;4,7612;2075;0
712;13,53;52,47;17;3425;2469;758;0,9393;827;0
713;13,55;52,48;17;5041;2396;801;6,0868;778;0
714;13,54;52,58;52;1837;668;300;5,1009;313;0
715;13,25;52,53;7;2021;1615;406;2,5842;441;0
716;13,16;52,6;19;121;658;41;0,9573;41;0
717;13,26;52,53;30;1680;858;310;4,0474;312;0
718;13,21;52,52;32;1564;973;290;3,75;270;0
719;13,46;52,64;13;2589;1356;435;5,0253;413;0
720;13,47;52,64;4;1646;853;410;5,0821;408;0
721;13,46;52,62;25;2496;1034;367;7,0544;351;0
722;13,21;52,48;32;6239;2615;950;6,6188;974;0
723;13,41;52,63;32;4684;1512;511;15,0001;540;0
724;13,41;52,64;8;1755;1687;511;1,995;530;0
725;13,27;52,57;21;3481;1866;746;3,6201;808;0
726;13,16;52,58;36;2914;1236;509;2,4464;562;0
727;13,19;52,58;5;260;157;42;6,5151;41;0
728;13,71;52,4;30;3742;1721;631;6,1388;633;0
729;13,54;52,47;34;1441;695;275;2,6875;294;0
730;13,22;52,48;40;859;427;176;3,5789;196;0
731;13,38;52,39;52;1786;856;394;3,0833;427;0
732;13,64;52,35;14;2982;1408;423;5,3241;412;0
733;13,39;52,61;32;2374;1580;427;3,8837;450;0
734;13,24;52,57;31;1892;1162;389;3,125;428;0
735;13,12;52,41;46;1051;1435;305;1,6667;302;0
736;13,47;52,67;22;2340;1141;554;4,5729;584;0
737;13,49;52,58;43;1583;1941;614;1,9835;658;0
738;13,48;52,63;46;2062;1522;469;3,087;484;0
739;13,17;52,59;25;4952;1589;1024;1,8446;1062;0
740;13,29;52,57;43;1544;701;298;4,1375;286;0
741;13,37;52,4;17;2236;992;312;6,9405;315;0
742;13,47;52,59;44;968;1805;375;1,4801;384;0
743;13,46;52,61;36;2223;942;331;4,6806;361;0
744;13,23;52,5;10;1731;1056;312;3,6007;299;0
745;13,23;52,52;52;2694;1152;435;3,0806;453;0
746;13,15;52,47;41;1229;994;270;1,4891;302;0
747;13,16;52,59;29;3402;2331;690;3,6094;747;0
748;13,15;52,58;52;1211;1102;392;1,6875;447;0
749;13,15;52,59;16;1787;1446;362;3,75;361;0
750;13,48;52,59;12;2560;907;366;10,076;365;0
751;13,15;52,4;13;1632;3356;659;1,5054;598;0
752;13,38;52,62;38;796;679;167;3,6607;159;0
753;13,46;52,63;52;2424;1171;455;1,4815;528;0
754;13,48;52,66;48;2304;1273;512;3,275;558;0
755;13,72;52,41;8;1944;814;276;5,3988;283;0
756;13,45;52,64;32;2699;2086;551;2,2974;552;0
757;13,17;52,58;34;2392;933;619;3,7306;653;0
758;13,17;52,57;26;2249;1311;373;5,0287;344;0
759;13,18;52,58;30;724;325;155;3,3333;167;0
760;13,18;52,59;52;2093;918;483;2,7477;550;0
761;13,16;52,4;45;1834;1405;407;2,0521;421;0
762;13,24;52,5;33;2127;1056;391;4,375;414;0
763;13,24;52,46;42;1762;1526;365;2,8643;398;0
764;13,18;52,45;21;2405;1197;412;2,6488;476;0
765;13,18;52,57;14;5919;265;112;3,2431;1278;0
766;13,16;52,57;14;3727;1741;646;3,5625;685;0
